continent,country
Asia,AFG
Europe,NLD
North America,ANT
Europe,ALB
Africa,DZA
Oceania,ASM
Europe,AND
Africa,AGO
North America,AIA
North America,ATG
Asia,ARE
South America,ARG
Asia,ARM
North America,ABW
Oceania,AUS
Asia,AZE
North America,BHS
Asia,BHR
Asia,BGD
North America,BRB
Europe,BEL
North America,BLZ
Africa,BEN
North America,BMU
Asia,BTN
South America,BOL
Europe,BIH
Africa,BWA
South America,BRA
Europe,GBR
North America,VGB
Asia,BRN
Europe,BGR
Africa,BFA
Africa,BDI
North America,CYM
South America,CHL
Oceania,COK
North America,CRI
Africa,DJI
North America,DMA
North America,DOM
South America,ECU
Africa,EGY
North America,SLV
Africa,ERI
Europe,ESP
Africa,ZAF
Africa,ETH
South America,FLK
Oceania,FJI
Asia,PHL
Europe,FRO
Africa,GAB
Africa,GMB
Asia,GEO
Africa,GHA
Europe,GIB
North America,GRD
North America,GRL
North America,GLP
Oceania,GUM
North America,GTM
Africa,GIN
Africa,GNB
South America,GUY
North America,HTI
North America,HND
Asia,HKG
Europe,SJM
Asia,IDN
Asia,IND
Asia,IRQ
Asia,IRN
Europe,IRL
Europe,ISL
Asia,ISR
Europe,ITA
Asia,TMP
Europe,AUT
North America,JAM
Asia,JPN
Asia,YEM
Asia,JOR
Oceania,CXR
Europe,YUG
Asia,KHM
Africa,CMR
North America,CAN
Africa,CPV
Asia,KAZ
Africa,KEN
Africa,CAF
Asia,CHN
Asia,KGZ
Oceania,KIR
South America,COL
Africa,COM
Africa,COG
Africa,COD
Oceania,CCK
Asia,PRK
Asia,KOR
Europe,GRC
Europe,HRV
North America,CUB
Asia,KWT
Asia,CYP
Asia,LAO
Europe,LVA
Africa,LSO
Asia,LBN
Africa,LBR
Africa,LBY
Europe,LIE
Europe,LTU
Europe,LUX
Africa,ESH
Asia,MAC
Africa,MDG
Europe,MKD
Africa,MWI
Asia,MDV
Asia,MYS
Africa,MLI
Europe,MLT
Africa,MAR
Oceania,MHL
North America,MTQ
Africa,MRT
Africa,MUS
Africa,MYT
North America,MEX
Oceania,FSM
Europe,MDA
Europe,MCO
Asia,MNG
North America,MSR
Africa,MOZ
Asia,MMR
Africa,NAM
Oceania,NRU
Asia,NPL
North America,NIC
Africa,NER
Africa,NGA
Oceania,NIU
Oceania,NFK
Europe,NOR
Africa,CIV
Asia,OMN
Asia,PAK
Oceania,PLW
North America,PAN
Oceania,PNG
South America,PRY
South America,PER
Oceania,PCN
Oceania,MNP
Europe,PRT
North America,PRI
Europe,POL
Africa,GNQ
Asia,QAT
Europe,FRA
South America,GUF
Oceania,PYF
Africa,REU
Europe,ROM
Africa,RWA
Europe,SWE
Africa,SHN
North America,KNA
North America,LCA
North America,VCT
North America,SPM
Europe,DEU
Oceania,SLB
Africa,ZMB
Oceania,WSM
Europe,SMR
Africa,STP
Asia,SAU
Africa,SEN
Africa,SYC
Africa,SLE
Asia,SGP
Europe,SVK
Europe,SVN
Africa,SOM
Asia,LKA
Africa,SDN
Europe,FIN
South America,SUR
Africa,SWZ
Europe,CHE
Asia,SYR
Asia,TJK
Asia,TWN
Africa,TZA
Europe,DNK
Asia,THA
Africa,TGO
Oceania,TKL
Oceania,TON
North America,TTO
Africa,TCD
Europe,CZE
Africa,TUN
Asia,TUR
Asia,TKM
North America,TCA
Oceania,TUV
Africa,UGA
Europe,UKR
Europe,HUN
South America,URY
Oceania,NCL
Oceania,NZL
Asia,UZB
Europe,BLR
Oceania,WLF
Oceania,VUT
Europe,VAT
South America,VEN
Europe,RUS
Asia,VNM
Europe,EST
North America,USA
North America,VIR
Africa,ZWE
Asia,PSE
Antarctica,ATA
Antarctica,BVT
Africa,IOT
Antarctica,SGS
Antarctica,HMD
Antarctica,ATF
Oceania,UMI
